DIAGNOSIS_CD,DIAGNOSIS_CD_TYPE,n,subCat
72093006,SNOMED,3,
72239,ICD9,3,Dorsopathies 
722892007,SNOMED,3,
723665008,SNOMED,3,
724171006,SNOMED,3,
724538004,SNOMED,3,
72544005,SNOMED,3,
72621003,SNOMED,3,
72654001,SNOMED,3,
7270,ICD9,3,"Rheumatism, excluding the back "
72701,ICD9,3,"Rheumatism, excluding the back "
7299,ICD9,3,"Rheumatism, excluding the back "
73009,ICD9,3,"Osteopathies, chondropathies, and acquired musculoskeletal deformities "
73013,ICD9,3,"Osteopathies, chondropathies, and acquired musculoskeletal deformities "
73147001,SNOMED,3,
73244003,SNOMED,3,
73397007,SNOMED,3,
73452002,SNOMED,3,
737288007,SNOMED,3,
74102,ICD9,3,Nervous system 
74191,ICD9,3,Nervous system 
74331,ICD9,3,"Eye, ear, face and neck "
74332,ICD9,3,"Eye, ear, face and neck "
74333,ICD9,3,"Eye, ear, face and neck "
74339,ICD9,3,"Eye, ear, face and neck "
74353,ICD9,3,"Eye, ear, face and neck "
74403,ICD9,3,"Eye, ear, face and neck "
74424,ICD9,3,"Eye, ear, face and neck "
74449,ICD9,3,"Eye, ear, face and neck "
74578003,SNOMED,3,
74711,ICD9,3,Circulatory system 
74776002,SNOMED,3,
74789,ICD9,3,Circulatory system 
74904,ICD9,3,Digestive system 
74964007,SNOMED,3,
75027,ICD9,3,Digestive system 
75053002,SNOMED,3,
75100008,SNOMED,3,
75236001,SNOMED,3,
75244,ICD9,3,Genital organs 
75262,ICD9,3,Genital organs 
7527,ICD9,3,Genital organs 
75295004,SNOMED,3,
75521,ICD9,3,Musculoskeletal system 
75552,ICD9,3,Musculoskeletal system 
7559,ICD9,3,Musculoskeletal system 
75613,ICD9,3,Musculoskeletal system 
75789001,SNOMED,3,
75817003,SNOMED,3,
75837004,SNOMED,3,
75955007,SNOMED,3,
76073,ICD9,3,Maternal causes of perinatal morbidity and mortality 
7610,ICD9,3,Maternal causes of perinatal morbidity and mortality 
7613,ICD9,3,Maternal causes of perinatal morbidity and mortality 
761960006,SNOMED,3,
762262008,SNOMED,3,
762656009,SNOMED,3,
76267008,SNOMED,3,
76314005,SNOMED,3,
763325000,SNOMED,3,
7635,ICD9,3,Maternal causes of perinatal morbidity and mortality 
76404,ICD9,3,Other conditions originating in the perinatal period 
76405,ICD9,3,Other conditions originating in the perinatal period 
76407009,SNOMED,3,
76408015,SNOMED,3,
76496,ICD9,3,Other conditions originating in the perinatal period 
76583009,SNOMED,3,
7673,ICD9,3,Other conditions originating in the perinatal period 
76751001,SNOMED,3,
76783007,SNOMED,3,
76795007,SNOMED,3,
76871,ICD9,3,Other conditions originating in the perinatal period 
76873,ICD9,3,Other conditions originating in the perinatal period 
77014,ICD9,3,Other conditions originating in the perinatal period 
770924008,SNOMED,3,
77128003,SNOMED,3,
77183,ICD9,3,Other conditions originating in the perinatal period 
77214,ICD9,3,Other conditions originating in the perinatal period 
7723,ICD9,3,Other conditions originating in the perinatal period 
7728,ICD9,3,Other conditions originating in the perinatal period 
77427003,SNOMED,3,
7744,ICD9,3,Other conditions originating in the perinatal period 
7745,ICD9,3,Other conditions originating in the perinatal period 
775,ICD9,3,Other conditions originating in the perinatal period 
7751009,SNOMED,3,
77528005,SNOMED,3,
77545000,SNOMED,3,
7762,ICD9,3,Other conditions originating in the perinatal period 
77737007,SNOMED,3,
7785,ICD9,3,Other conditions originating in the perinatal period 
7800,ICD9,3,Symptoms 
78004001,SNOMED,3,
78104003,SNOMED,3,
78370002,SNOMED,3,
78455002,SNOMED,3,
78623009,SNOMED,3,
7.91E+13,SNOMED,3,
79413,ICD9,3,Nonspecific abnormal findings 
79414,ICD9,3,Nonspecific abnormal findings 
79416,ICD9,3,Nonspecific abnormal findings 
79546008,SNOMED,3,
79604008,SNOMED,3,
79674,ICD9,3,Nonspecific abnormal findings 
79679,ICD9,3,Nonspecific abnormal findings 
7980,ICD9,3,Ill-defined and unknown causes of morbidity and mortality 
79823003,SNOMED,3,
7989,ICD9,3,Ill-defined and unknown causes of morbidity and mortality 
79955004,SNOMED,3,
80146002,SNOMED,3,
80193009,SNOMED,3,
80223,ICD9,3,Fracture of skull 
80306,ICD9,3,Fracture of skull 
80330,ICD9,3,Fracture of skull 
80340,ICD9,3,Fracture of skull 
80495009,SNOMED,3,
80583007,SNOMED,3,
80629,ICD9,3,Fracture of neck and trunk 
80710,ICD9,3,Fracture of neck and trunk 
81010,ICD9,3,Fracture of upper limb 
81012,ICD9,3,Fracture of upper limb 
81210,ICD9,3,Fracture of upper limb 
81353,ICD9,3,Fracture of upper limb 
81598001,SNOMED,3,
8197001,SNOMED,3,
82030,ICD9,3,Fracture of lower limb 
82132,ICD9,3,Fracture of lower limb 
82311,ICD9,3,Fracture of lower limb 
82403002,SNOMED,3,
82533,ICD9,3,Fracture of lower limb 
82598004,SNOMED,3,
82789004,SNOMED,3,
82966003,SNOMED,3,
8.30E+13,SNOMED,3,
83114,ICD9,3,Dislocation 
83210,ICD9,3,Dislocation 
83270006,SNOMED,3,
83411,ICD9,3,Dislocation 
83421005,SNOMED,3,
83458005,SNOMED,3,
83746006,SNOMED,3,
83907,ICD9,3,Dislocation 
84116009,SNOMED,3,
8412,ICD9,3,Sprains and strains of joints and adjacent muscles 
84231005,SNOMED,3,
84299009,SNOMED,3,
8442000,SNOMED,3,
8463,ICD9,3,Sprains and strains of joints and adjacent muscles 
85102008,SNOMED,3,
85106,ICD9,3,"Intracranial injury, excluding those with skull fracture "
8513005,SNOMED,3,
85182,ICD9,3,"Intracranial injury, excluding those with skull fracture "
85410,ICD9,3,"Intracranial injury, excluding those with skull fracture "
85777005,SNOMED,3,
859,ICD9,3,"Intracranial injury, excluding those with skull fracture "
85915003,SNOMED,3,
8603,ICD9,3,"Internal injury of thorax, abdomen, and pelvis "
86132,ICD9,3,"Internal injury of thorax, abdomen, and pelvis "
8630,ICD9,3,"Internal injury of thorax, abdomen, and pelvis "
86321,ICD9,3,"Internal injury of thorax, abdomen, and pelvis "
86339,ICD9,3,"Internal injury of thorax, abdomen, and pelvis "
86341008,SNOMED,3,
86344,ICD9,3,"Internal injury of thorax, abdomen, and pelvis "
86347007,SNOMED,3,
86384,ICD9,3,"Internal injury of thorax, abdomen, and pelvis "
86414,ICD9,3,"Internal injury of thorax, abdomen, and pelvis "
86504,ICD9,3,"Internal injury of thorax, abdomen, and pelvis "
86651002,SNOMED,3,
86814,ICD9,3,"Internal injury of thorax, abdomen, and pelvis "
8703,ICD9,3,"Open wound of head, neck, and trunk "
8709,ICD9,3,"Open wound of head, neck, and trunk "
8715,ICD9,3,"Open wound of head, neck, and trunk "
87513003,SNOMED,3,
87628006,SNOMED,3,
87688009,SNOMED,3,
87696004,SNOMED,3,
8789,ICD9,3,"Open wound of head, neck, and trunk "
87979003,SNOMED,3,
8799007,SNOMED,3,
88001,ICD9,3,Open wound of upper limb 
88009,ICD9,3,Open wound of upper limb 
88011,ICD9,3,Open wound of upper limb 
88020,ICD9,3,Open wound of upper limb 
88121,ICD9,3,Open wound of upper limb 
88213004,SNOMED,3,
88522004,SNOMED,3,
8872,ICD9,3,Open wound of upper limb 
8.88E+13,SNOMED,3,
88906006,SNOMED,3,
88994001,SNOMED,3,
89138009,SNOMED,3,
89639000,SNOMED,3,
89675003,SNOMED,3,
8975,ICD9,3,Open wound of lower limb 
898,ICD9,3,Open wound of lower limb 
89820008,SNOMED,3,
90000,ICD9,3,Injury to blood vessels 
90128006,SNOMED,3,
90223,ICD9,3,Injury to blood vessels 
90235006,SNOMED,3,
9.04E+13,SNOMED,3,
9042,ICD9,3,Injury to blood vessels 
90441,ICD9,3,Injury to blood vessels 
90520006,SNOMED,3,
9078005,SNOMED,3,
90821003,SNOMED,3,
9122,ICD9,3,Superficial injury 
9129,ICD9,3,Superficial injury 
91327001,SNOMED,3,
91356001,SNOMED,3,
91374005,SNOMED,3,
91514001,SNOMED,3,
91925003,SNOMED,3,
91967007,SNOMED,3,
9197,ICD9,3,Superficial injury 
9232,ICD9,3,Contusion with intact skin surface 
92343006,SNOMED,3,
92380000,SNOMED,3,
92486005,SNOMED,3,
9250002,SNOMED,3,
92506005,SNOMED,3,
92649001,SNOMED,3,
9267009,SNOMED,3,
92801,ICD9,3,Crushing injury 
92813000,SNOMED,3,
92824003,SNOMED,3,
9290,ICD9,3,Crushing injury 
93689003,SNOMED,3,
93870000,SNOMED,3,
9389005,SNOMED,3,
93984006,SNOMED,3,
94047004,SNOMED,3,
941,ICD9,3,Burns 
94111,ICD9,3,Burns 
9420008,SNOMED,3,
94225005,SNOMED,3,
94239,ICD9,3,Burns 
94309,ICD9,3,Burns 
94335,ICD9,3,Burns 
94391008,SNOMED,3,
944,ICD9,3,Burns 
945,ICD9,3,Burns 
9472,ICD9,3,Burns 
9479,ICD9,3,Burns 
94822,ICD9,3,Burns 
94974001,SNOMED,3,
950004,OTHER,3,
950052,OTHER,3,
950084,OTHER,3,
950090,OTHER,3,
950099,OTHER,3,
950136,OTHER,3,
950137,OTHER,3,
950154,OTHER,3,
950161,OTHER,3,
950164,OTHER,3,
950172,OTHER,3,
950181,OTHER,3,
950194,OTHER,3,
950217,OTHER,3,
950222,OTHER,3,
950226,OTHER,3,
9509,ICD9,3,Injury to nerves and spinal cord 
951,ICD9,3,Injury to nerves and spinal cord 
9515,ICD9,3,Injury to nerves and spinal cord 
9517,ICD9,3,Injury to nerves and spinal cord 
952,ICD9,3,Injury to nerves and spinal cord 
95201,ICD9,3,Injury to nerves and spinal cord 
95204,ICD9,3,Injury to nerves and spinal cord 
95216,ICD9,3,Injury to nerves and spinal cord 
95219,ICD9,3,Injury to nerves and spinal cord 
9523,ICD9,3,Injury to nerves and spinal cord 
9531,ICD9,3,Injury to nerves and spinal cord 
95323007,SNOMED,3,
95471008,SNOMED,3,
9548,ICD9,3,Injury to nerves and spinal cord 
9549,ICD9,3,Injury to nerves and spinal cord 
95545007,SNOMED,3,
956,ICD9,3,Injury to nerves and spinal cord 
9565,ICD9,3,Injury to nerves and spinal cord 
95675005,SNOMED,3,
95750004,SNOMED,3,
95806007,SNOMED,3,
95893,ICD9,3,Certain traumatic complications and unspecified injuries 
9609,ICD9,3,"Poisoning by drugs, medicinal and biological substances "
9618,ICD9,3,"Poisoning by drugs, medicinal and biological substances "
9.63E+13,SNOMED,3,
96904,ICD9,3,"Poisoning by drugs, medicinal and biological substances "
9692,ICD9,3,"Poisoning by drugs, medicinal and biological substances "
96973,ICD9,3,"Poisoning by drugs, medicinal and biological substances "
97089,ICD9,3,"Poisoning by drugs, medicinal and biological substances "
9.74E+12,SNOMED,3,
9753,ICD9,3,"Poisoning by drugs, medicinal and biological substances "
9756,ICD9,3,"Poisoning by drugs, medicinal and biological substances "
9828,ICD9,3,Toxic effects of substances chiefly nonmedicinal as to source 
985,ICD9,3,Toxic effects of substances chiefly nonmedicinal as to source 
9910,ICD9,3,Other and unspecified effects of external causes 
995,ICD9,3,Other and unspecified effects of external causes 
99700,ICD9,3,"Complications of surgical and medical care, not elsewhere classified "
9973,ICD9,3,"Complications of surgical and medical care, not elsewhere classified "
99771,ICD9,3,"Complications of surgical and medical care, not elsewhere classified "
9991008,SNOMED,3,
9997,ICD9,3,"Complications of surgical and medical care, not elsewhere classified "
A060,ICD10,3,#N/A
A154,ICD10,3,Tuberculosis
A158,ICD10,3,Tuberculosis
A170,ICD10,3,Tuberculosis
A1803,ICD10,3,Tuberculosis
A1815,ICD10,3,Tuberculosis
A1839,ICD10,3,Tuberculosis
A363,ICD10,3,Other bacterial diseases
A369,ICD10,3,Other bacterial diseases
A5211,ICD10,3,Infections with a predominantly sexual mode of transmission
A529,ICD10,3,Infections with a predominantly sexual mode of transmission
A5486,ICD10,3,Infections with a predominantly sexual mode of transmission
A598,ICD10,3,Infections with a predominantly sexual mode of transmission
A663,ICD10,3,Other spirochaetal diseases
A8100,ICD10,3,Viral infections of the central nervous system
A878,ICD10,3,Viral infections of the central nervous system
A9231,ICD10,3,Arthropod-borne viral fevers and viral haemorrhagic fevers
B0051,ICD10,3,Viral infections characterized by skin and mucous membrane lesions
B010,ICD10,3,Viral infections characterized by skin and mucous membrane lesions
B020,ICD10,3,Viral infections characterized by skin and mucous membrane lesions
B0821,ICD10,3,Viral infections characterized by skin and mucous membrane lesions
B1711,ICD10,3,Viral hepatitis
B172,ICD10,3,Viral hepatitis
B2689,ICD10,3,Other viral diseases
B362,ICD10,3,Mycoses
B395,ICD10,3,Mycoses
B402,ICD10,3,Mycoses
B432,ICD10,3,Mycoses
B465,ICD10,3,Mycoses
B509,ICD10,3,Protozoal diseases
B5800,ICD10,3,Protozoal diseases
B810,ICD10,3,Helminthiases
B8789,ICD10,3,"Pediculosis, acariasis and other infestations"
B9622,ICD10,3,"Bacterial, viral and other infectious agents"
B9623,ICD10,3,"Bacterial, viral and other infectious agents"
C028,ICD10,3,"Malignant neoplasms of lip, oral cavity and pharynx"
C041,ICD10,3,"Malignant neoplasms of lip, oral cavity and pharynx"
C051,ICD10,3,"Malignant neoplasms of lip, oral cavity and pharynx"
C101,ICD10,3,"Malignant neoplasms of lip, oral cavity and pharynx"
C102,ICD10,3,"Malignant neoplasms of lip, oral cavity and pharynx"
C110,ICD10,3,"Malignant neoplasms of lip, oral cavity and pharynx"
C113,ICD10,3,"Malignant neoplasms of lip, oral cavity and pharynx"
C131,ICD10,3,"Malignant neoplasms of lip, oral cavity and pharynx"
C138,ICD10,3,"Malignant neoplasms of lip, oral cavity and pharynx"
C153,ICD10,3,Malignant neoplasms of digestive organs
C165,ICD10,3,Malignant neoplasms of digestive organs
C311,ICD10,3,Malignant neoplasms of respiratory and intrathoracic organs
C343,ICD10,3,Malignant neoplasms of respiratory and intrathoracic organs
C399,ICD10,3,Malignant neoplasms of respiratory and intrathoracic organs
C4001,ICD10,3,Malignant neoplasms of bone and articular cartilage
C4012,ICD10,3,Malignant neoplasms of bone and articular cartilage
C413,ICD10,3,Malignant neoplasms of bone and articular cartilage
C4320,ICD10,3,Melanoma and other malignant neoplasms of skin
C44510,ICD10,3,Melanoma and other malignant neoplasms of skin
C44799,ICD10,3,Melanoma and other malignant neoplasms of skin
C451,ICD10,3,Malignant neoplasms of mesothelial and soft tissue
C50,ICD10,3,Malignant neoplasm of breast
C50621,ICD10,3,Malignant neoplasm of breast
C511,ICD10,3,Malignant neoplasms of female genital organs
C512,ICD10,3,Malignant neoplasms of female genital organs
C6901,ICD10,3,"Malignant neoplasms of eye, brain and other parts of central nervous system"
C6910,ICD10,3,"Malignant neoplasms of eye, brain and other parts of central nervous system"
C6922,ICD10,3,"Malignant neoplasms of eye, brain and other parts of central nervous system"
C6961,ICD10,3,"Malignant neoplasms of eye, brain and other parts of central nervous system"
C6962,ICD10,3,"Malignant neoplasms of eye, brain and other parts of central nervous system"
C7259,ICD10,3,"Malignant neoplasms of eye, brain and other parts of central nervous system"
C7A022,ICD10,3,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C7A095,ICD10,3,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C8113,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8141,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8148,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8193,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8197,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8202,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8212,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8229,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8231,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8235,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8239,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8240,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8248,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8249,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8253,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8258,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8260,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8283,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8284,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8285,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8296,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8305,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8314,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8351,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8373,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8389,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8390,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8470,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C84A1,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C84A3,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C84A9,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8528,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8585,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C8596,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C864,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C865,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C889,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C9021,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C91Z2,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C9212,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C92Z2,ICD10,3,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
